City,Country,Max Temp,Humidity,Current Description,Lat,Lng,Hotel Name
Marrakesh,MA,55.47,71,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
Arraial Do Cabo,BR,68.56,67,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
Lasa,IT,38.28,67,few clouds,46.6166,10.7002,Pension Feldgärtenhof
Arlit,NE,70.3,14,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
Mbandaka,CD,76.12,74,overcast clouds,0.0487,18.2603,Guest House Epervier
Lewiston,US,35.42,72,clear sky,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
Puerto Colombia,CO,77.09,86,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
Bereda,ES,45.41,100,overcast clouds,43.2686,-7.5406,Pazo de Verdes
Ilulissat,GL,33.82,47,scattered clouds,69.2167,-51.1,Hotel Arctic
Rawson,AR,65.93,59,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
Crestview,US,50.25,71,clear sky,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
Linjiang,CN,45.3,62,broken clouds,41.8069,126.9078,格林豪泰
Cam Ranh,VN,80.56,78,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
Gaya,IN,76.91,33,haze,24.7833,85.0,Hotel Viraat Inn Gaya
Padang,ID,84.25,75,overcast clouds,-0.9492,100.3543,Mercure Padang
Adamas,GR,67.3,88,clear sky,36.7333,24.4333,Aphrodite of Milos
Diamantino,BR,68.13,80,scattered clouds,-14.4086,-56.4461,Hotel Delta
San Cristobal,VE,65.05,96,overcast clouds,7.7669,-72.225,Pirineos
Denpasar,ID,85.71,70,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
Niceville,US,50.92,56,overcast clouds,30.5169,-86.4822,Hampton Inn Niceville-Eglin Air Force Base
Shenjiamen,CN,66.85,89,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
Kastamonu,TR,57.22,70,clear sky,41.5,33.6667,Kasaba Orencik Koyu Muhtarligi
Sambava,MG,80.8,68,scattered clouds,-14.2667,50.1667,Melrose
Grand Baie,MU,81.07,57,broken clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
Kraskino,RU,43.5,68,overcast clouds,42.7114,130.7794,"Gostinichnyy Kompleks ""Orion"""
Zanjan,IR,46.09,66,clear sky,36.6736,48.4787,Qasr Hotel
Kimbe,PG,82.31,81,light rain,-5.5502,150.1429,Kimbe Bay Hotel
Krieglach,AT,40.6,92,overcast clouds,47.5333,15.55,Gasthof&Wellnesshotel Stocker
Dunedin,NZ,52.45,99,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
Akhmeta,GE,55.92,45,clear sky,42.0311,45.2075,Hostel Kakheti
San Policarpo,PH,79.77,86,moderate rain,12.1791,125.5072,Agapita M. Nicart
Ponta Do Sol,PT,66.83,64,few clouds,32.6667,-17.1,Hotel do Campo
Kaeo,NZ,68.32,84,few clouds,-35.1,173.7833,Bushido Lodge
Lompoc,US,51.62,100,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
Labuan,MY,86.36,66,few clouds,5.2767,115.2417,Tiara Labuan Hotel
Shimoda,JP,66.56,60,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
Kushiro,JP,40.15,93,broken clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
Palembang,ID,87.89,62,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
Bayan,CN,40.05,61,overcast clouds,46.0833,127.4,Wanhao Inn
Garmsar,IR,61.23,28,clear sky,35.2182,52.3409,مجتمع مرصاد
Kuryk,KZ,54.99,52,broken clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
Marigot,MF,81.05,74,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
Najran,SA,72.25,25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
Metro,ID,87.57,58,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
Sur,OM,83.77,44,clear sky,22.5667,59.5289,Sur Plaza Hotel
Coquimbo,CL,58.73,94,overcast clouds,-29.9533,-71.3436,Hotel San Juan
Carlet,ES,54.9,59,clear sky,39.2333,-0.5167,Hotel Ciutat De Carlet
Holguin,CU,76.5,94,few clouds,20.8872,-76.2631,Casa Cables. Holguín
Sokoni,TZ,82.26,73,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
Pio Xii,BR,73.04,98,overcast clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
