City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
79,Melhus,NO,2022-08-03 05:33:07,63.2855,10.2781,64.06,75,100,3.47
80,Doha,QA,2022-08-03 05:28:36,25.2867,51.5333,98.91,61,0,5.75
81,Pangnirtung,CA,2022-08-03 05:32:35,66.1451,-65.7125,44.71,85,64,1.43
82,Afrikanda,RU,2022-08-03 05:33:08,67.4429,32.7828,52.9,93,100,7.36
83,Pasighat,IN,2022-08-03 05:33:09,28.0667,95.3333,89.44,69,100,3.98
84,Hithadhoo,MV,2022-08-03 05:33:09,-0.6,73.0833,80.76,74,92,11.63
85,Nome,US,2022-08-03 05:33:09,64.5011,-165.4064,62.17,63,0,14.97
86,Hampden,US,2022-08-03 05:33:10,42.1668,-72.5829,71.62,85,0,1.01
87,New Norfolk,AU,2022-08-03 05:33:10,-42.7826,147.0587,58.91,75,97,7.0
88,Castro,BR,2022-08-03 05:33:11,-24.7911,-50.0119,55.26,80,0,4.07
89,Homer,US,2022-08-03 05:32:00,59.6425,-151.5483,57.09,82,0,5.75
90,Mehran,IR,2022-08-03 05:33:11,33.1222,46.1646,107.76,16,0,3.04
91,Guerrero Negro,MX,2022-08-03 05:32:40,27.9769,-114.0611,71.2,83,31,12.88
92,Biak,ID,2022-08-03 05:34:12,-0.9131,122.8766,80.89,73,84,7.11
93,Miri,MY,2022-08-03 05:34:13,4.4148,114.0089,86.14,79,40,6.91
94,Kapaa,US,2022-08-03 05:34:13,22.0752,-159.319,84.18,77,40,18.41
95,Mar Del Plata,AR,2022-08-03 05:31:49,-38.0023,-57.5575,54.09,97,28,3.0
96,Airai,TL,2022-08-03 05:34:14,-8.9266,125.4092,75.06,41,94,2.98
97,Okhotsk,RU,2022-08-03 05:34:14,59.3833,143.3,60.87,77,92,10.65
98,Tartus,SY,2022-08-03 05:34:15,34.889,35.8866,82.63,67,13,5.08
99,Pyapon,MM,2022-08-03 05:34:15,16.2833,95.6833,82.09,81,100,11.43
100,Kavieng,PG,2022-08-03 05:34:16,-2.5744,150.7967,83.12,75,22,13.51
101,Lebu,CL,2022-08-03 05:34:16,-37.6167,-73.65,44.38,85,24,9.46
102,Saint-Pierre,RE,2022-08-03 05:34:17,-21.3393,55.4781,71.91,83,75,9.22
103,San Patricio,US,2022-08-03 05:34:17,28.017,-97.5169,85.89,78,7,15.79
104,Dikson,RU,2022-08-03 05:34:18,73.5069,80.5464,45.46,87,100,16.93
105,Hermanus,ZA,2022-08-03 05:34:18,-34.4187,19.2345,51.8,86,12,3.49
106,Can Tho,VN,2022-08-03 05:34:19,10.0333,105.7833,78.78,94,75,9.22
107,East London,ZA,2022-08-03 05:34:19,-33.0153,27.9116,61.74,67,0,6.91
108,Hwange,ZW,2022-08-03 05:34:20,-18.3693,26.5019,61.68,72,0,7.92
109,Meulaboh,ID,2022-08-03 05:34:20,4.1363,96.1285,78.08,85,100,5.01
110,Half Moon Bay,US,2022-08-03 05:30:30,37.4636,-122.4286,70.03,76,100,10.36
111,Nanortalik,GL,2022-08-03 05:34:21,60.1432,-45.2371,45.23,77,50,5.48
112,Beringovskiy,RU,2022-08-03 05:34:22,63.05,179.3167,56.91,67,21,7.87
113,Longido,TZ,2022-08-03 05:34:22,-2.7333,36.6833,64.92,56,4,8.01
114,Choszczno,PL,2022-08-03 05:34:22,53.169,15.4205,71.24,50,63,4.07
115,Nikki,BJ,2022-08-03 05:34:23,9.9401,3.2108,69.57,97,100,5.7
116,Sidi Ali,DZ,2022-08-03 05:34:23,36.0998,0.4206,78.58,41,0,2.64
117,Lerwick,GB,2022-08-03 05:34:24,60.1545,-1.1494,55.4,92,100,18.23
118,Saint-Philippe,RE,2022-08-03 05:34:24,-21.3585,55.7679,67.21,85,66,12.5
119,Tuatapere,NZ,2022-08-03 05:34:25,-46.1333,167.6833,46.18,78,64,4.83
120,Yar-Sale,RU,2022-08-03 05:34:25,66.8333,70.8333,70.48,47,95,11.99
121,Diamantino,BR,2022-08-03 05:34:26,-14.4086,-56.4461,70.05,35,0,5.46
122,Outlook,CA,2022-08-03 05:33:29,51.5001,-107.0513,57.36,78,84,7.49
123,Katima Mulilo,NA,2022-08-03 05:34:26,-17.5,24.2667,61.54,60,2,9.8
124,Talaya,RU,2022-08-03 05:34:27,61.3833,152.75,70.45,53,96,12.88
125,Luang Prabang,LA,2022-08-03 05:34:27,19.8856,102.1347,89.56,62,40,2.3
126,Naze,JP,2022-08-03 05:34:28,28.3667,129.4833,85.12,76,18,9.31
127,Baiyin,CN,2022-08-03 05:34:28,36.5583,104.2081,85.08,39,5,9.75
128,Kodiak,US,2022-08-03 05:34:29,57.79,-152.4072,63.91,52,0,19.57
129,Puro,PH,2022-08-03 05:34:29,12.4841,123.3827,86.79,65,100,3.49
130,Paamiut,GL,2022-08-03 05:34:29,61.994,-49.6678,43.7,83,100,9.42
131,Cayenne,GF,2022-08-03 05:30:08,4.9333,-52.3333,75.24,1,40,0.0
132,Tasiilaq,GL,2022-08-03 05:34:30,65.6145,-37.6368,41.16,64,20,4.03
133,Saint George,US,2022-08-03 05:34:31,37.1041,-113.5841,90.63,38,0,3.44
134,Thinadhoo,MV,2022-08-03 05:34:31,0.5333,72.9333,80.28,78,77,13.69
135,Fairbanks,US,2022-08-03 05:34:32,64.8378,-147.7164,66.2,82,75,8.05
136,Lasem,ID,2022-08-03 05:34:32,-6.6922,111.4527,86.5,62,100,9.48
137,Moroto,UG,2022-08-03 05:34:32,2.5345,34.6666,66.96,73,32,2.93
138,Hitachi,JP,2022-08-03 05:34:33,36.6,140.65,94.75,73,100,3.67
139,Udachnyy,RU,2022-08-03 05:35:33,66.4167,112.4,46.45,100,100,18.05
